latitude,longtitude
37.5313402252251,127.084037533359
37.5535982795813,127.097362094171
37.5473373809602,127.107685327963
37.5482465526714,127.107218596104
37.5467899453857,127.107277163683
37.5670093830453,127.082139196218
37.5387291720926,127.091173812997
37.5412876569611,127.087837362694
37.5304913607337,127.078722035605
37.5350065860262,127.08184476074
37.5541649640196,127.072347541141
37.5300922101797,127.076817101325
37.5540541700022,127.072300694319
37.5472643786254,127.071938697357
37.5472643786254,127.071938697357
37.5472643786254,127.071938697357
37.5694447637074,127.08305501063
37.556350492433,127.077903476057
37.5490111663673,127.092022274837
37.5319692640161,127.086094632545
37.5316187818149,127.086454798289
37.5355951939401,127.083284813339
37.5513551601064,127.110075878946
